,index,eventId,subEventName,tags,playerId,positions,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,id,tagsList,minut,x_position,y_position,TagNames,Accurate,Assist,Counter attack,Goal,Head/body,Key pass,Left foot,Position: Goal center,Position: Goal center left,Position: Goal center right,Position: Goal high center,Position: Goal high left,Position: Goal high right,Position: Goal low center,Position: Goal low left,Position: Goal low right,Position: Out center left,Position: Out center right,Position: Out high center,Position: Out high left,Position: Out high right,Position: Out low left,Position: Out low right,Position: Post center left,Position: Post center right,Position: Post high center,Position: Post high left,Position: Post high right,Position: Post low left,Position: Post low right,Right foot,distance,angle,x_coordinate_recovery,y_coordinate_recovery,possesion_time,recovery_way,assist_type
0,46,10,Shot,"[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}]",25413,"[{'y': 41, 'x': 88}, {'y': 0, 'x': 0}]",2499719,Shot,1609,1H,94.59578800000004,100.0,177959212,"[101, 402, 201, 1205, 1801]",1.5765964666666674,88,41,"['Goal', 'Right foot', 'Opportunity', 'Position: Goal low left', 'Accurate']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.891814136389813,24.9,4,86,0.15869575000000036,Ground defending duel,Cross
1,62,10,Shot,"[{'id': 401}, {'id': 201}, {'id': 1211}, {'id': 1802}]",26150,"[{'y': 52, 'x': 85}, {'y': 100, 'x': 100}]",2499719,Shot,1631,1H,179.85478500000002,100.0,177959247,"[401, 201, 1211, 1802]",2.9975797500000003,85,52,"['Left foot', 'Opportunity', 'Position: Out center left', 'Not accurate']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.803559725580817,4.72,7,59,0.025617683333333474,Air duel,Air duel
2,91,10,Shot,"[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1207}, {'id': 1801}]",14763,"[{'y': 52, 'x': 96}, {'y': 100, 'x': 100}]",2499719,Shot,1631,1H,254.745027,100.0,177959280,"[101, 403, 201, 1207, 1801]",4.24575045,96,52,"['Goal', 'Head/body', 'Opportunity', 'Position: Goal high center', 'Accurate']",1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.396589587396124,17.2,4,48,0.014199016666666786,Air duel,Air duel
3,128,10,Shot,"[{'id': 401}, {'id': 201}, {'id': 1215}, {'id': 1802}]",7868,"[{'y': 33, 'x': 81}, {'y': 0, 'x': 0}]",2499719,Shot,1609,1H,425.824035,100.0,177959289,"[401, 201, 1215, 1802]",7.097067249999999,81,33,"['Left foot', 'Opportunity', 'Position: Out high left', 'Not accurate']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22.805810663074446,28.98,47,90,0.07930533333333223,Ground defending duel,Acceleration
4,249,10,Shot,"[{'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}]",7868,"[{'y': 30, 'x': 75}, {'y': 0, 'x': 0}]",2499719,Shot,1609,1H,815.4620150000001,100.0,177959429,"[402, 201, 1205, 1801]",13.591033583333335,75,30,"['Right foot', 'Opportunity', 'Position: Goal low left', 'Accurate']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.292703869735206,26.35,26,49,0.02429955000000028,Ground defending duel,Ground attacking duel
5,394,10,Shot,"[{'id': 401}, {'id': 2101}, {'id': 1802}]",7945,"[{'y': 39, 'x': 90}, {'y': 0, 'x': 0}]",2499719,Shot,1609,1H,1286.06165,100.0,177959606,"[401, 2101, 1802]",21.434360833333336,90,39,"['Left foot', 'Blocked', 'Not accurate']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.703247616259395,34.25,24,64,0.14212555000000293,Ground defending duel,Cross
6,401,10,Shot,"[{'id': 401}, {'id': 2101}, {'id': 1802}]",49876,"[{'y': 36, 'x': 69}, {'y': 0, 'x': 0}]",2499719,Shot,1609,1H,1301.831901,100.0,177959611,"[401, 2101, 1802]",21.69719835,69,36,"['Left foot', 'Blocked', 'Not accurate']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.79811385269894,15.62,47,46,0.20103036666666796,Air duel,Simple pass
7,493,10,Shot,"[{'id': 402}, {'id': 2101}, {'id': 1802}]",7945,"[{'y': 58, 'x': 86}, {'y': 0, 'x': 0}]",2499719,Shot,1609,1H,1546.2229710000001,100.0,177959714,"[402, 2101, 1802]",25.77038285,86,58,"['Right foot', 'Blocked', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.592626462530298,19.48,26,37,0.05064469999999943,Ground defending duel,Simple pass
8,514,10,Shot,"[{'id': 401}, {'id': 201}, {'id': 1204}, {'id': 1801}]",14869,"[{'y': 32, 'x': 90}, {'y': 0, 'x': 0}]",2499719,Shot,1609,1H,1583.298344,100.0,177959740,"[401, 201, 1204, 1801]",26.388305733333333,90,32,"['Left foot', 'Opportunity', 'Position: Goal center left', 'Accurate']",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.720687007888682,48.09,17,71,0.035958733333334436,Air duel,Air duel
9,519,10,Shot,"[{'id': 402}, {'id': 1216}, {'id': 1802}]",120339,"[{'y': 36, 'x': 73}, {'y': 0, 'x': 0}]",2499719,Shot,1609,1H,1605.799842,100.0,177959749,"[402, 1216, 1802]",26.763330699999997,73,36,"['Right foot', 'Position: Out high right', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,29.774695632365408,17.8,7,61,0.03860733333333499,Clearance,Corner
10,554,10,Shot,"[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1203}, {'id': 1801}]",12829,"[{'y': 54, 'x': 94}, {'y': 100, 'x': 100}]",2499719,Shot,1631,1H,1710.855093,100.0,177959759,"[101, 402, 201, 1203, 1801]",28.514251549999997,94,54,"['Goal', 'Right foot', 'Opportunity', 'Position: Goal center', 'Accurate']",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.815423684555492,22.43,33,34,0.09582429999999675,Simple pass,Cross
11,640,10,Shot,"[{'id': 1901}, {'id': 403}, {'id': 201}, {'id': 1210}, {'id': 1802}]",14763,"[{'y': 58, 'x': 92}, {'y': 100, 'x': 100}]",2499719,Shot,1631,1H,1969.136309,100.0,177959853,"[1901, 403, 201, 1210, 1802]",32.81893848333333,92,58,"['Counter attack', 'Head/body', 'Opportunity', 'Position: Out low right', 'Not accurate']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.879271228182782,31.76,11,41,0.02359264999999766,Air duel,Air duel
12,727,10,Shot,"[{'id': 401}, {'id': 2101}, {'id': 1802}]",49876,"[{'y': 40, 'x': 72}, {'y': 0, 'x': 0}]",2499719,Shot,1609,1H,2255.232197,100.0,177959948,"[401, 2101, 1802]",37.58720328333333,72,40,"['Left foot', 'Blocked', 'Not accurate']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.10996512784431,12.47,31,66,0.338493899999996,Foul,Free Kick
13,895,10,Shot,"[{'id': 402}, {'id': 2101}, {'id': 1802}]",25413,"[{'y': 48, 'x': 87}, {'y': 0, 'x': 0}]",2499719,Shot,1609,1H,2813.844402,100.0,177960131,"[402, 2101, 1802]",46.897406700000005,87,48,"['Right foot', 'Blocked', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.711765021323847,5.44,85,95,0.014172733333339238,Simple pass,Clearance
14,898,10,Shot,"[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1203}, {'id': 1801}]",7945,"[{'y': 50, 'x': 92}, {'y': 0, 'x': 0}]",2499719,Shot,1609,1H,2815.900791,100.0,177960130,"[101, 402, 201, 1203, 1801]",46.93167985,92,50,"['Goal', 'Right foot', 'Opportunity', 'Position: Goal center', 'Accurate']",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.400000000000006,0.0,85,92,0.011097266666666883,Ground defending duel,Touch
15,979,10,Shot,"[{'id': 401}, {'id': 201}, {'id': 1210}, {'id': 1802}]",3319,"[{'y': 64, 'x': 71}, {'y': 0, 'x': 0}]",2499719,Shot,1609,2H,231.5146890000001,100.0,177960206,"[401, 201, 1210, 1802]",48.85857815,71,64,"['Left foot', 'Opportunity', 'Position: Out low right', 'Not accurate']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.780693825025285,16.64,29,91,0.17867485000000016,Ground defending duel,Simple pass
16,1008,10,Shot,"[{'id': 403}, {'id': 201}, {'id': 1213}, {'id': 1802}]",26150,"[{'y': 50, 'x': 92}, {'y': 100, 'x': 100}]",2499719,Shot,1631,2H,340.664542,100.0,177960274,"[403, 201, 1213, 1802]",50.67774236666666,92,50,"['Head/body', 'Opportunity', 'Position: Out center right', 'Not accurate']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.400000000000006,0.0,9,49,0.017989333333332524,Air duel,Air duel
17,1099,10,Shot,"[{'id': 402}, {'id': 201}, {'id': 1207}, {'id': 1801}]",26150,"[{'y': 59, 'x': 75}, {'y': 100, 'x': 100}]",2499719,Shot,1631,2H,594.4255840000002,100.0,177960369,"[402, 201, 1207, 1801]",54.90709306666667,75,59,"['Right foot', 'Opportunity', 'Position: Goal high center', 'Accurate']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.893958429357326,12.56,32,57,0.016400333333329797,Ground defending duel,Ground attacking duel
