,index,eventId,subEventName,tags,playerId,positions,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,id,tagsList,minut,x_position,y_position,TagNames,Accurate,Assist,Counter attack,Goal,Head/body,Key pass,Left foot,Position: Goal center,Position: Goal center left,Position: Goal center right,Position: Goal high center,Position: Goal high left,Position: Goal high right,Position: Goal low center,Position: Goal low left,Position: Goal low right,Position: Out center left,Position: Out center right,Position: Out high center,Position: Out high left,Position: Out high right,Position: Out low left,Position: Out low right,Position: Post center left,Position: Post center right,Position: Post high center,Position: Post high left,Position: Post high right,Position: Post low left,Position: Post low right,Right foot,distance,angle,x_coordinate_recovery,y_coordinate_recovery,possesion_time,recovery_way,assist_type
0,213,10,Shot,"[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1201}, {'id': 1801}]",256992,"[{'y': 57, 'x': 94}, {'y': 0, 'x': 0}]",2500686,Shot,3799,1H,605.9754929999999,100.0,176505350,"[101, 402, 201, 1201, 1801]",10.099591549999998,94,57,"['Goal', 'Right foot', 'Opportunity', 'Position: Goal low center', 'Accurate']",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.771261158911077,35.84,23,4,0.4519937333333317,High pass,Touch
1,302,10,Shot,"[{'id': 403}, {'id': 1214}, {'id': 1802}]",334552,"[{'y': 42, 'x': 83}, {'y': 100, 'x': 100}]",2500686,Shot,3772,1H,859.2363939999999,100.0,176506696,"[403, 1214, 1802]",14.320606566666665,83,42,"['Head/body', 'Position: Out high center', 'Not accurate']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.592000968158317,16.24,15,60,0.0032513999999963517,Air duel,Air duel
2,498,10,Shot,"[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}]",26389,"[{'y': 43, 'x': 96}, {'y': 100, 'x': 100}]",2500686,Shot,3772,1H,1568.104834,100.0,176505459,"[101, 402, 201, 1205, 1801]",26.135080566666666,96,43,"['Goal', 'Right foot', 'Opportunity', 'Position: Goal low left', 'Accurate']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.192132104533949,47.29,5,85,0.05413298333333216,Ground defending duel,Cross
3,577,10,Shot,"[{'id': 402}, {'id': 1210}, {'id': 1802}]",276920,"[{'y': 21, 'x': 84}, {'y': 100, 'x': 100}]",2500686,Shot,3772,1H,1800.8520780000001,100.0,176505547,"[402, 1210, 1802]",30.014201300000003,84,21,"['Right foot', 'Position: Out low right', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,25.25,48.29,0,80,0.1573634333333409,Ball out of the field,Simple pass
4,629,10,Shot,"[{'id': 402}, {'id': 201}, {'id': 1203}, {'id': 1801}]",366760,"[{'y': 51, 'x': 73}, {'y': 0, 'x': 0}]",2500686,Shot,3799,1H,2009.537139,100.0,176505707,"[402, 201, 1203, 1801]",33.49228565,73,51,"['Right foot', 'Opportunity', 'Position: Goal center', 'Accurate']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.35745052010141,1.31,53,48,0.09234040000000476,Ground defending duel,Simple pass
5,648,10,Shot,"[{'id': 402}, {'id': 1215}, {'id': 1802}]",274344,"[{'y': 59, 'x': 72}, {'y': 0, 'x': 0}]",2500686,Shot,3799,1H,2072.957133,100.0,176505732,"[402, 1215, 1802]",34.54928555,72,59,"['Right foot', 'Position: Out high left', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,29.97636569032344,11.25,21,37,0.030033250000002454,Air duel,Air duel
6,932,10,Shot,"[{'id': 402}, {'id': 2101}, {'id': 1802}]",334552,"[{'y': 32, 'x': 82}, {'y': 100, 'x': 100}]",2500686,Shot,3772,2H,110.75678999999992,100.0,176505941,"[402, 2101, 1802]",46.8459465,82,32,"['Right foot', 'Blocked', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.228360263411247,31.76,17,72,0.0369310333333317,Ground defending duel,Ground attacking duel
7,1049,10,Shot,"[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1202}, {'id': 1801}]",274970,"[{'y': 51, 'x': 93}, {'y': 100, 'x': 100}]",2500686,Shot,3772,2H,410.5420290000001,100.0,176506029,"[101, 402, 201, 1202, 1801]",51.84236715,93,51,"['Goal', 'Right foot', 'Opportunity', 'Position: Goal low right', 'Accurate']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.378685519792798,5.05,8,48,0.01137025000000591,Ground defending duel,Ground attacking duel
8,1147,10,Shot,"[{'id': 402}, {'id': 2101}, {'id': 1802}]",256992,"[{'y': 68, 'x': 87}, {'y': 0, 'x': 0}]",2500686,Shot,3799,2H,684.0321909999998,100.0,176506198,"[402, 2101, 1802]",56.40053651666666,87,68,"['Right foot', 'Blocked', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.978111691721136,40.6,30,52,0.046559866666669336,Ground defending duel,Ground attacking duel
9,1157,10,Shot,"[{'id': 402}, {'id': 1214}, {'id': 1802}]",26044,"[{'y': 21, 'x': 82}, {'y': 0, 'x': 0}]",2500686,Shot,3799,2H,707.2584419999997,100.0,176506215,"[402, 1214, 1802]",56.7876407,82,21,"['Right foot', 'Position: Out high center', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,26.693304403913732,44.92,61,18,0.21702793333332693,Ground attacking duel,Simple pass
