,index,eventId,subEventName,tags,playerId,positions,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,id,tagsList,minut,x_position,y_position,TagNames,Accurate,Assist,Counter attack,Goal,Head/body,Key pass,Left foot,Position: Goal center,Position: Goal center left,Position: Goal center right,Position: Goal high center,Position: Goal high left,Position: Goal high right,Position: Goal low center,Position: Goal low left,Position: Goal low right,Position: Out center left,Position: Out center right,Position: Out high center,Position: Out high left,Position: Out high right,Position: Out low left,Position: Out low right,Position: Post center left,Position: Post center right,Position: Post high center,Position: Post high left,Position: Post high right,Position: Post low left,Position: Post low right,Right foot,distance,angle,x_coordinate_recovery,y_coordinate_recovery,possesion_time,recovery_way,assist_type
0,68,10,Shot,"[{'id': 402}, {'id': 201}, {'id': 1203}, {'id': 1801}]",21077,"[{'y': 41, 'x': 80}, {'y': 0, 'x': 0}]",2575959,Shot,3172,1H,193.924279,100.0,180424028,"[402, 201, 1203, 1801]",3.232071316666667,80,41,"['Right foot', 'Opportunity', 'Position: Goal center', 'Accurate']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.799598620158125,15.57,30,68,0.04013111666666713,Ground defending duel,Ground attacking duel
1,90,10,Shot,"[{'id': 401}, {'id': 201}, {'id': 1210}, {'id': 1802}]",8327,"[{'y': 33, 'x': 95}, {'y': 100, 'x': 100}]",2575959,Shot,3158,1H,250.84315200000003,100.0,180424079,"[401, 201, 1210, 1802]",4.1807192,95,33,"['Left foot', 'Opportunity', 'Position: Out low right', 'Not accurate']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.23376475170256,64.59,45,100,0.42455831666666777,Ball out of the field,High pass
2,213,10,Shot,"[{'id': 402}, {'id': 2101}, {'id': 1802}]",20879,"[{'y': 63, 'x': 72}, {'y': 100, 'x': 100}]",2575959,Shot,3158,1H,633.5777740000002,100.0,180424208,"[402, 2101, 1802]",10.55962956666667,72,63,"['Right foot', 'Blocked', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.59023537013078,16.04,12,16,0.05307236666666704,Ground defending duel,Simple pass
3,426,10,Shot,"[{'id': 1901}, {'id': 402}, {'id': 201}, {'id': 1210}, {'id': 1802}]",23149,"[{'y': 62, 'x': 91}, {'y': 100, 'x': 100}]",2575959,Shot,3158,1H,1359.4694220000001,100.0,180424444,"[1901, 402, 201, 1210, 1802]",22.6578237,91,62,"['Counter attack', 'Right foot', 'Opportunity', 'Position: Out low right', 'Not accurate']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12.253264871045594,39.54,66,14,0.1647611666666684,Ground defending duel,Smart pass
4,435,10,Shot,"[{'id': 1901}, {'id': 401}, {'id': 1216}, {'id': 1802}]",295176,"[{'y': 26, 'x': 86}, {'y': 0, 'x': 0}]",2575959,Shot,3172,1H,1412.601525,100.0,180424409,"[1901, 401, 1216, 1802]",23.54335875,86,26,"['Counter attack', 'Left foot', 'Position: Out high right', 'Not accurate']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.434784813475506,46.7,52,52,0.2399330500000012,High pass,Simple pass
5,451,10,Shot,"[{'id': 401}, {'id': 201}, {'id': 1201}, {'id': 1801}]",246175,"[{'y': 60, 'x': 74}, {'y': 0, 'x': 0}]",2575959,Shot,3172,1H,1462.267677,100.0,180424432,"[401, 201, 1201, 1801]",24.37112795,74,60,"['Left foot', 'Opportunity', 'Position: Goal low center', 'Accurate']",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.06314308839977,13.39,32,10,0.1401106666666685,Ground attacking duel,Simple pass
6,466,10,Shot,"[{'id': 401}, {'id': 201}, {'id': 1214}, {'id': 1802}]",21620,"[{'y': 40, 'x': 87}, {'y': 0, 'x': 0}]",2575959,Shot,3172,1H,1492.408601,100.0,180424448,"[401, 201, 1214, 1802]",24.873476683333333,87,40,"['Left foot', 'Opportunity', 'Position: Out high center', 'Not accurate']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.118614354496914,25.46,81,82,0.2159625833333294,Ground attacking duel,Simple pass
7,513,10,Shot,"[{'id': 401}, {'id': 2101}, {'id': 1802}]",246175,"[{'y': 32, 'x': 91}, {'y': 0, 'x': 0}]",2575959,Shot,3172,1H,1666.254775,100.0,180424495,"[401, 2101, 1802]",27.770912916666667,91,32,"['Left foot', 'Blocked', 'Not accurate']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.039697470361565,51.07,69,75,0.11530749999999657,Ground defending duel,Simple pass
8,520,10,Shot,"[{'id': 402}, {'id': 1216}, {'id': 1802}]",21077,"[{'y': 14, 'x': 77}, {'y': 0, 'x': 0}]",2575959,Shot,3172,1H,1725.8669799999998,100.0,180424514,"[402, 1216, 1802]",28.764449666666664,77,14,"['Right foot', 'Position: Out high right', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,33.627109599250424,44.1,5,64,0.9677467499999999,Clearance,Simple pass
9,616,10,Shot,"[{'id': 403}, {'id': 2101}, {'id': 1802}]",246175,"[{'y': 33, 'x': 91}, {'y': 0, 'x': 0}]",2575959,Shot,3172,1H,2121.0066859999997,100.0,180424622,"[403, 2101, 1802]",35.35011143333333,91,33,"['Head/body', 'Blocked', 'Not accurate']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.539773038118582,49.46,9,63,0.0006661166666646068,Touch,Cross
