,index,eventId,subEventName,tags,playerId,positions,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,id,tagsList,minut,x_position,y_position,TagNames,Accurate,Assist,Counter attack,Goal,Head/body,Key pass,Left foot,Position: Goal center,Position: Goal center left,Position: Goal center right,Position: Goal high center,Position: Goal high left,Position: Goal high right,Position: Goal low center,Position: Goal low left,Position: Goal low right,Position: Out center left,Position: Out center right,Position: Out high center,Position: Out high left,Position: Out high right,Position: Out low left,Position: Out low right,Position: Post center left,Position: Post center right,Position: Post high center,Position: Post high left,Position: Post high right,Position: Post low left,Position: Post low right,Right foot,distance,angle,x_coordinate_recovery,y_coordinate_recovery,possesion_time,recovery_way,assist_type
0,20,10,Shot,"[{'id': 1901}, {'id': 401}, {'id': 201}, {'id': 1201}, {'id': 1801}]",225089,"[{'y': 34, 'x': 93}, {'y': 0, 'x': 0}]",2565548,Shot,695,1H,57.771186,100.0,180865315,"[1901, 401, 201, 1201, 1801]",0.9628531,93,34,"['Counter attack', 'Left foot', 'Opportunity', 'Position: Goal low center', 'Accurate']",1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.735089320456291,54.75,12,73,0.004634133333333512,Ground defending duel,Ground attacking duel
1,22,10,Shot,"[{'id': 402}, {'id': 2101}, {'id': 1802}]",255738,"[{'y': 59, 'x': 80}, {'y': 0, 'x': 0}]",2565548,Shot,695,1H,60.727239000000004,100.0,180864547,"[402, 2101, 1802]",1.0121206500000002,80,59,"['Right foot', 'Blocked', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.799598620158125,15.57,100,100,0.030301016666666736,Reflexes,Shot
2,107,10,Shot,"[{'id': 402}, {'id': 2101}, {'id': 201}, {'id': 1802}]",37831,"[{'y': 57, 'x': 88}, {'y': 100, 'x': 100}]",2565548,Shot,682,1H,446.98611200000016,100.0,180864486,"[402, 2101, 201, 1802]",7.449768533333336,88,57,"['Right foot', 'Blocked', 'Opportunity', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.39636144630324,19.86,91,61,0.556305933333336,Air duel,Smart pass
3,111,10,Shot,"[{'id': 402}, {'id': 201}, {'id': 1216}, {'id': 1802}]",15214,"[{'y': 66, 'x': 87}, {'y': 100, 'x': 100}]",2565548,Shot,682,1H,488.929113,100.0,180864491,"[402, 201, 1216, 1802]",8.14881855,87,66,"['Right foot', 'Opportunity', 'Position: Out high right', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17.160492417177316,37.3,11,35,0.6621274166666664,Touch,Corner
4,228,10,Shot,"[{'id': 402}, {'id': 1214}, {'id': 1802}]",225089,"[{'y': 40, 'x': 75}, {'y': 0, 'x': 0}]",2565548,Shot,695,1H,948.8720789999999,100.0,180864792,"[402, 1214, 1802]",15.814534649999997,75,40,"['Right foot', 'Position: Out high center', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,27.04279016669693,13.91,10,42,0.0393053499999958,Clearance,Air duel
5,250,10,Shot,"[{'id': 402}, {'id': 2101}, {'id': 1802}]",247220,"[{'y': 69, 'x': 78}, {'y': 0, 'x': 0}]",2565548,Shot,695,1H,1028.2768,100.0,180864818,"[402, 2101, 1802]",17.137946666666668,78,69,"['Right foot', 'Blocked', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.194131022043848,28.13,54,74,0.20299851666666768,Smart pass,Simple pass
6,295,10,Shot,"[{'id': 1901}, {'id': 401}, {'id': 1215}, {'id': 1802}]",280383,"[{'y': 35, 'x': 78}, {'y': 0, 'x': 0}]",2565548,Shot,695,1H,1168.7312880000002,100.0,180864859,"[1901, 401, 1215, 1802]",19.478854800000004,78,35,"['Counter attack', 'Left foot', 'Position: Out high left', 'Not accurate']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.073342417795036,22.88,37,65,0.024831833333337272,Ground defending duel,Ground attacking duel
7,356,10,Shot,"[{'id': 402}, {'id': 2101}, {'id': 1802}]",3470,"[{'y': 65, 'x': 89}, {'y': 0, 'x': 0}]",2565548,Shot,695,1H,1471.210757,100.0,180864933,"[402, 2101, 1802]",24.520179283333334,89,65,"['Right foot', 'Blocked', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.115058716392733,40.17,14,0,0.3587150000000001,Ball out of the field,Cross
8,420,10,Shot,"[{'id': 403}, {'id': 201}, {'id': 1212}, {'id': 1802}]",364860,"[{'y': 62, 'x': 91}, {'y': 100, 'x': 100}]",2565548,Shot,682,1H,1805.2537329999998,100.0,180864787,"[403, 201, 1212, 1802]",30.08756221666666,91,62,"['Head/body', 'Opportunity', 'Position: Out low left', 'Not accurate']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.253264871045594,39.54,7,38,0.021968166666660238,Air duel,Air duel
9,502,10,Shot,"[{'id': 401}, {'id': 2101}, {'id': 1802}]",399676,"[{'y': 63, 'x': 85}, {'y': 100, 'x': 100}]",2565548,Shot,682,1H,2097.535578,100.0,180864891,"[401, 2101, 1802]",34.9589263,85,63,"['Left foot', 'Blocked', 'Not accurate']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.873583859987342,28.21,17,32,0.024602166666667813,Ground defending duel,Ground attacking duel
